date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:12	3079/3079	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2016:41:09%20GMT	https://poland-stronk-championship.runningfred333.repl.co/	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/index.html	(from )
10:41:12	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Oct%202022%2016:41:09%20GMT	https://poland-stronk-championship.runningfred333.repl.co/robots.txt		(from )
10:41:12	13275/13275	---M--	200	added ('OK')	%e8%02%c8	date:Sat,%2022%20Oct%202022%2016:41:10%20GMT	https://poland-stronk-championship.runningfred333.repl.co/favicon.ico	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/favicon.ico	(from https://poland-stronk-championship.runningfred333.repl.co/)
10:41:13	1382/1382	---M--	200	added ('OK')	text/css	date:Sat,%2022%20Oct%202022%2016:41:10%20GMT	https://poland-stronk-championship.runningfred333.repl.co/style.css	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/style.css	(from https://poland-stronk-championship.runningfred333.repl.co/)
10:41:13	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Oct%202022%2016:41:11%20GMT	https://poland-stronk-championship.runningfred333.repl.co/Build	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/Build.2.delayed	(from https://poland-stronk-championship.runningfred333.repl.co/)
10:41:13	13343/13343	---M--	200	added ('OK')	text/javascript	date:Sat,%2022%20Oct%202022%2016:41:11%20GMT	https://poland-stronk-championship.runningfred333.repl.co/PMPHtmlEng.loader.js	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/PMPHtmlEng.loader.js	(from https://poland-stronk-championship.runningfred333.repl.co/)
10:41:14	117960/117960	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Oct%202022%2016:41:11%20GMT	https://poland-stronk-championship.runningfred333.repl.co/MoreGames.png	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/MoreGames.png	(from https://poland-stronk-championship.runningfred333.repl.co/)
10:41:14	1108/1108	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Oct%202022%2016:41:12%20GMT	https://poland-stronk-championship.runningfred333.repl.co/unity-logo-dark.png	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/unity-logo-dark.png	(from https://poland-stronk-championship.runningfred333.repl.co/style.css)
10:41:14	96/96	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Oct%202022%2016:41:12%20GMT	https://poland-stronk-championship.runningfred333.repl.co/progress-bar-empty-dark.png	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/progress-bar-empty-dark.png	(from https://poland-stronk-championship.runningfred333.repl.co/style.css)
10:41:15	74/74	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Oct%202022%2016:41:12%20GMT	https://poland-stronk-championship.runningfred333.repl.co/progress-bar-full-dark.png	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/progress-bar-full-dark.png	(from https://poland-stronk-championship.runningfred333.repl.co/style.css)
10:41:15	2031/2031	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Oct%202022%2016:41:13%20GMT	https://poland-stronk-championship.runningfred333.repl.co/webgl-logo.png	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/webgl-logo.png	(from https://poland-stronk-championship.runningfred333.repl.co/style.css)
10:41:16	175/175	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Oct%202022%2016:41:13%20GMT	https://poland-stronk-championship.runningfred333.repl.co/fullscreen-button.png	C:/Users/zapho/bigfootsite/BigfootsGS.github.io/g/gfiles/gfiles/html5/game1/poland-stronk-championship.runningfred333.repl.co/fullscreen-button.png	(from https://poland-stronk-championship.runningfred333.repl.co/style.css)
