0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SET,Loop,12,,,,,
0,JMPZ,112,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Time,4,,,,,
0,MUL,Time,$Time,0.1,,,,
0,ADD,Time,$Time,0.5,,,,
0,RND,Jump,4,,,,,
0,MUL,Adj,$Jump,0.1,,,,
0,ADD,Time,$Time,$Adj,,,,
0,MUL,Adj,$Jump,8,,,,
0,RND,Spd1,50,,,,,
0,ADD,Spd1,200,$Spd1,,,,
0,SUB,Spd1,$Spd1,$Adj,,,,
0,RND,Spd2,150,,,,,
0,DIV,Skp1,$Spd2,375,,,,
0,ADD,Spd2,$Spd2,$Spd1,,,,
0,RND,Spd3,100,,,,,
0,ADD,Spd3,$Spd3,450,,,,
0,SUB,Skp2,$Spd3,$Spd2,,,,
0,DIV,Skp2,$Skp2,375,,,,
0,DIV,Tmp,150,$Spd3,,,,
0,SUB,Skp2,$Skp2,$Tmp,,,,
0,RND,Tmp,2,,,,,
0,MUL,Tmp,$Tmp,4,,,,
0,ADD,Jump,$Jump,1,,,,
0,ADD,Jump,$Jump,$Tmp,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,8,,,,,,
0,JMPREL,16,,,,,,
0,JMPREL,24,,,,,,
0,JMPREL,32,,,,,,
0,JMPREL,40,,,,,,
0,JMPREL,48,,,,,,
0,JMPREL,56,,,,,,
0,JMPREL,64,,,,,,
$Time,BoneV,128,257,91,0,$Spd1,,
0,BoneV,128,366,25,0,$Spd1,,
$Skp1,BoneV,503,257,91,2,$Spd2,,
0,BoneV,503,366,25,2,$Spd2,,
$Skp2,BoneVRepeat,128,257,91,0,$Spd3,5,20
0,BoneVRepeat,128,366,25,0,$Spd3,5,20
0,BoneVRepeat,503,257,91,2,$Spd3,5,20
0,BoneVRepeat,503,366,25,2,$Spd3,5,20
0,JMPABS,6,,,,,,
$Time,BoneV,128,257,81,0,$Spd1,,
0,BoneV,128,356,35,0,$Spd1,,
$Skp1,BoneV,503,257,81,2,$Spd2,,
0,BoneV,503,356,35,2,$Spd2,,
$Skp2,BoneVRepeat,128,257,81,0,$Spd3,5,20
0,BoneVRepeat,128,356,35,0,$Spd3,5,20
0,BoneVRepeat,503,257,81,2,$Spd3,5,20
0,BoneVRepeat,503,356,35,2,$Spd3,5,20
0,JMPABS,6,,,,,,
$Time,BoneV,128,257,71,0,$Spd1,,
0,BoneV,128,346,45,0,$Spd1,,
$Skp1,BoneV,503,257,71,2,$Spd2,,
0,BoneV,503,346,45,2,$Spd2,,
$Skp2,BoneVRepeat,128,257,71,0,$Spd3,5,20
0,BoneVRepeat,128,346,45,0,$Spd3,5,20
0,BoneVRepeat,503,257,71,2,$Spd3,5,20
0,BoneVRepeat,503,346,45,2,$Spd3,5,20
0,JMPABS,6,,,,,,
$Time,BoneV,128,257,51,0,$Spd1,,
0,BoneV,128,326,60,0,$Spd1,,
$Skp1,BoneV,503,257,51,2,$Spd2,,
0,BoneV,503,326,60,2,$Spd2,,
$Skp2,BoneVRepeat,128,257,51,0,$Spd3,5,20
0,BoneVRepeat,128,326,60,0,$Spd3,5,20
0,BoneVRepeat,503,257,51,2,$Spd3,5,20
0,BoneVRepeat,503,326,60,2,$Spd3,5,20
0.2,JMPABS,6,,,,,,
$Time,BoneV,503,257,91,2,$Spd1,,
0,BoneV,503,366,25,2,$Spd1,,
$Skp1,BoneV,128,257,91,0,$Spd2,,
0,BoneV,128,366,25,0,$Spd2,,
$Skp2,BoneVRepeat,128,257,91,0,$Spd3,5,20
0,BoneVRepeat,128,366,25,0,$Spd3,5,20
0,BoneVRepeat,503,257,91,2,$Spd3,5,20
0,BoneVRepeat,503,366,25,2,$Spd3,5,20
0,JMPABS,6,,,,,,
$Time,BoneV,503,257,81,2,$Spd1,,
0,BoneV,503,356,35,2,$Spd1,,
$Skp1,BoneV,128,257,81,0,$Spd2,,
0,BoneV,128,356,35,0,$Spd2,,
$Skp2,BoneVRepeat,128,257,81,0,$Spd3,5,20
0,BoneVRepeat,128,356,35,0,$Spd3,5,20
0,BoneVRepeat,503,257,81,2,$Spd3,5,20
0,BoneVRepeat,503,356,35,2,$Spd3,5,20
0,JMPABS,6,,,,,,
$Time,BoneV,503,257,71,2,$Spd1,,
0,BoneV,503,346,45,2,$Spd1,,
$Skp1,BoneV,128,257,71,0,$Spd2,,
0,BoneV,128,346,45,0,$Spd2,,
$Skp2,BoneVRepeat,128,257,71,0,$Spd3,5,20
0,BoneVRepeat,128,346,45,0,$Spd3,5,20
0,BoneVRepeat,503,257,71,2,$Spd3,5,20
0,BoneVRepeat,503,346,45,2,$Spd3,5,20
0,JMPABS,6,,,,,,
$Time,BoneV,503,257,51,2,$Spd1,,
0,BoneV,503,326,60,2,$Spd1,,
$Skp1,BoneV,128,257,51,0,$Spd2,,
0,BoneV,128,326,60,0,$Spd2,,
$Skp2,BoneVRepeat,128,257,51,0,$Spd3,5,20
0,BoneVRepeat,128,326,60,0,$Spd3,5,20
0,BoneVRepeat,503,257,51,2,$Spd3,5,20
0,BoneVRepeat,503,326,60,2,$Spd3,5,20
0.2,JMPABS,6,,,,,,
2.2,EndAttack,,,,,,,
