0,CombatZoneResize,241,226,406,391,TLResume,,,,
0,HeartTeleport,320,304,,,,,,,
0,HeartMode,0,,,,,,,,
0,TLPause,,,,,,,,,
0,SansSweat,0,,,,,,,,
0,SET,I,0,,,,,,,
0,RND,Direction,4,,,,,,,
0,ADD,Jump,$Direction,1,,,,,,
0,JMPREL,$Jump,,,,,,,,
0,JMPREL,4,,,,,,,,
0,JMPREL,5,,,,,,,,
0,JMPREL,6,,,,,,,,
0,JMPREL,7,,,,,,,,
0,SansBody,HandRight,,,,,,,,
0,JMPREL,7,,,,,,,,
0,SansBody,HandDown,,,,,,,,
0,JMPREL,5,,,,,,,,
0,SansBody,HandLeft,,,,,,,,
0,JMPREL,3,,,,,,,,
0,SansBody,HandUp,,,,,,,,
0,JMPREL,1,,,,,,,,
0.15,SansSlam,$Direction,,,,,,,,
0,BoneStab,$Direction,35,0.45,0,,,,,
0,ADD,I,$I,1,,,,,,
0.32,JMPL,7,$I,8,,,,,,
0,HeartMode,0,,,,,,,,
0,SET,I,0,,,,,,,
0,RND,Direction,2,,,,,,,
0,ADD,Jump,$Direction,1,,,,,,
0,JMPREL,$Jump,,,,,,,,
0,JMPREL,2,,,,,,,,
0,JMPREL,4,,,,,,,,
0,BoneH,130,-10,200,1,475,,,,
0,BoneH,330,700,200,3,475,,,,
0,JMPREL,4,,,,,,,,
0,BoneH,130,700,200,3,475,,,,
0,BoneH,330,-10,200,1,475,,,,
0,JMPREL,1,,,,,,,,
0,ADD,I,$I,1,,,,,,
0.42,JMPL,28,$I,4,,,,,,
0.4,SansBody,HandLeft,,,,,,,,
0.2,SansSlam,2,,,,,,,,
0.3,SansBody,HandRight,,,,,,,,
0.2,HeartMaxFallSpeed,450,,,,,,,,
0,SansSlam,0,,,,,,,,
0,CombatZoneResizeInstant,241,226,449,391,,,,,
0,CombatZoneSpeed,900,,,,,,,,
0,CombatZoneResize,241,226,650,391,,,,,
0.33333,HeartMaxFallSpeed,-300,,,,,,,,
0,SansAnimation,Idle,,,,,,,,
0,SansRepeat,,,,,,,,,
0,CombatZoneResize,-10,226,650,391,,,,,
0.3,CombatZoneSpeed,30,,,,,,,,
0,CombatZoneResize,-10,264,650,369,,,,,
0.9,GetHeartPos,HeartX,HeartY,,,,,,,
0,HeartTeleport,$HeartX,$HeartY,,,,,,,
0,HeartMaxFallSpeed,30,,,,,,,,
0,SansSlam,0,,,,,,,,
0,DIV,Deg,180,$pi,,,,,,
0,SET,I,0,,,,,,,
0,DIV,Ang,$I,3,,,,,,
0,MUL,Ang,$Ang,$Deg,,,,,,
0,SIN,Sine,$Ang,,,,,,,
0,MUL,Sine,$Sine,25,,,,,,
0,FLOOR,Sine,$Sine,,,,,,,
0,MUL,X,$I,30,,,,,,
0,ADD,X,$X,634,,,,,,
0,SET,Y,270,,,,,,,
0,ADD,H,30,$Sine,,,,,,
0,BoneV,$X,$Y,$H,2,900,,,,
0,ADD,Y,$Y,$H,,,,,,
0,ADD,Y,$Y,34,,,,,,
0,SUB,H,364,$Y,,,,,,
0,BoneV,$X,$Y,$H,2,900,,,,
0,ADD,I,$I,1,,,,,,
0,JMPL,61,$I,82,,,,,,
0,ADD,X,$X,330,,,,,,
0,BoneVRepeat,$X,270,50,2,900,4,15,,
0,ADD,X,$X,300,,,,,,
0,BoneVRepeat,$X,314,50,2,900,4,15,,
0,ADD,X,$X,270,,,,,,
0,BoneVRepeat,$X,270,50,2,900,4,15,,
0,ADD,X,$X,270,,,,,,
0,BoneVRepeat,$X,314,50,2,900,4,15,,
0,ADD,X,$X,240,,,,,,
0,BoneVRepeat,$X,270,50,2,900,4,15,,
0,ADD,X,$X,240,,,,,,
0,BoneVRepeat,$X,314,50,2,900,4,15,,
0,ADD,X,$X,210,,,,,,
0,BoneVRepeat,$X,270,50,2,900,4,15,,
0,ADD,X,$X,300,,,,,,
0,BoneVRepeat,$X,314,50,2,900,4,15,,
0,ADD,X,$X,240,,,,,,
0,BoneVRepeat,$X,270,50,2,900,4,15,,
0,ADD,X,$X,360,,,,,,
0,SET,I,0,,,,,,,
0,MUL,X2,$I,20,,,,,,
0,ADD,X2,$X2,$X,,,,,,
0,ADD,H,10,$I,,,,,,
0,BoneV,$X2,270,$H,2,900,,,,
0,SUB,Y,365,$H,,,,,,
0,BoneV,$X2,$Y,$H,2,900,,,,
0,ADD,I,$I,1,,,,,,
0,JMPL,97,$I,24,,,,,,
0,SET,I,0,,,,,,,
3.33333,HeartMaxFallSpeed,660,,,,,,,,
0,SansSlam,1,,,,,,,,
0,BoneStab,1,35,0.4,0,,,,,
0.33333,SansSlam,3,,,,,,,,
0,BoneStab,3,35,0.4,0,,,,,
0.33333,SansSlam,1,,,,,,,,
0,BoneStab,1,35,0.4,0,,,,,
0.33333,SansSlam,3,,,,,,,,
0,BoneStab,3,35,0.4,0,,,,,
0.33333,SansSlam,1,,,,,,,,
0,BoneStab,1,35,0.4,0,,,,,
0.33333,SansSlam,3,,,,,,,,
0,BoneStab,3,35,0.4,0,,,,,
0.25,SansSlam,1,,,,,,,,
0,BoneStab,1,35,0.3,0,,,,,
0.25,SansSlam,3,,,,,,,,
0,BoneStab,3,35,0.3,0,,,,,
0.2,SansSlam,1,,,,,,,,
0.2,SansSlam,3,,,,,,,,
0,HeartMaxFallSpeed,50,,,,,,,,
0,SansSlam,0,,,,,,,,
0.1,HeartMaxFallSpeed,330,,,,,,,,
