0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,304,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SET,Loop,12,,,,,
0,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.1,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,JMPZ,102,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,6,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,6,,,,,,
0,JMPREL,11,,,,,,
0,JMPREL,16,,,,,,
0,JMPREL,23,,,,,,
0,JMPREL,32,,,,,,
0,JMPREL,39,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartTeleport,506,376,,,,,
0,SansSlam,1,,,,,,
0,BoneVRepeat,200,331,55,0,400,20,15
0,BoneVRepeat,-100,371,15,0,400,16,15
1.43333,JMPABS,6,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartTeleport,149,376,,,,,
0,SansSlam,1,,,,,,
0,BoneVRepeat,440,331,55,2,400,20,15
0,BoneVRepeat,740,371,15,2,400,16,15
1.43333,JMPABS,6,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartTeleport,323,376,,,,,
0,SansSlam,1,,,,,,
0,BoneVRepeat,128,339,45,0,300,4,16
0,BoneV,64,284,100,0,300,,
0,BoneVRepeat,512,339,45,2,300,4,16
0,BoneV,576,284,100,2,300,,
0.8,JMPABS,6,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartTeleport,323,376,,,,,
0,SansSlam,1,,,,,,
0,BoneV,128,284,100,0,360,1,
0,BoneVRepeat,56,364,20,0,360,2,16
0,BoneV,24,284,100,0,360,0,
0,BoneV,512,284,100,2,360,1,
0,BoneVRepeat,584,364,20,2,360,2,16
0,BoneV,616,284,100,2,360,0,
0.76667,JMPABS,6,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,
0,HeartTeleport,323,376,,,,,
0,SansSlam,1,,,,,,
0,BoneVRepeat,200,280,70,0,220,6,125
0,BoneVRepeat,200,369,15,0,220,6,125
0,BoneVRepeat,440,280,70,2,220,6,125
0,BoneVRepeat,440,369,15,2,220,6,125
1.7,JMPABS,6,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,
0,HeartTeleport,323,376,,,,,
0,SansSlam,1,,,,,,
0,SET,Loop2,3,,,,,
0,SUB,Loop2,$Loop2,1,,,,
0,RND,Jump,3,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,3,,,,,,
0,JMPREL,12,,,,,,
0,JMPREL,21,,,,,,
0,JMPZ,6,$Loop2,,,,,
0,BoneV,171,282,66,0,200,,
0,BoneV,171,366,20,0,200,,
0,BoneV,466,282,66,2,200,,
0,BoneV,466,366,20,2,200,,
0.3,BoneVRepeat,171,282,66,0,450,8,15
0,BoneVRepeat,171,366,20,0,450,8,15
0,BoneVRepeat,466,282,66,2,450,8,15
0,BoneVRepeat,466,366,20,2,450,8,15
0.1,JMPABS,100,,,,,,
0,JMPZ,6,$Loop2,,,,,
0,BoneV,171,282,56,0,200,,
0,BoneV,171,356,30,0,200,,
0,BoneV,466,282,56,2,200,,
0,BoneV,466,356,30,2,200,,
0.3,BoneVRepeat,171,282,56,0,450,8,15
0,BoneVRepeat,171,356,30,0,450,8,15
0,BoneVRepeat,466,282,56,2,450,8,15
0,BoneVRepeat,466,356,30,2,450,8,15
0.1,JMPABS,100,,,,,,
0,JMPZ,6,$Loop2,,,,,
0,BoneV,171,282,46,0,200,,
0,BoneV,171,346,40,0,200,,
0,BoneV,466,282,46,2,200,,
0,BoneV,466,346,40,2,200,,
0.3,BoneVRepeat,171,282,46,0,450,8,15
0,BoneVRepeat,171,346,40,0,450,8,15
0,BoneVRepeat,466,282,46,2,450,8,15
0,BoneVRepeat,466,346,40,2,450,8,15
0.1,JMPABS,100,,,,,,
0,JMPZ,6,$Loop2,,,,,
0.8,JMPABS,63,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,
0,EndAttack,,,,,,,
