0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,15,346,55,0,225,,
0.4,BoneVRepeat,133,356,356,0,240,165,20
0.4,Platform,-61,346,55,0,240,,
0.8,Platform,-61,346,55,0,255,,
0.8,Platform,-61,346,55,0,270,,
0.9,Platform,-61,346,55,0,285,,
1,Platform,-61,346,55,0,300,,
0,BoneV,133,257,35,0,325,,
0,BoneV,119,257,35,0,325,,
0,BoneV,105,257,35,0,325,,
1,Platform,-61,346,55,0,315,,
1,Platform,-61,346,55,0,330,,
1,Platform,-61,346,55,0,345,,
1,Platform,-61,346,55,0,360,,
0,BoneV,133,257,35,0,385,,
0,BoneV,119,257,35,0,385,,
0,BoneV,105,257,35,0,385,,
1,Platform,-61,346,55,0,375,,
1,Platform,-61,346,55,0,390,,
1,Platform,-61,346,55,0,405,,
1,Platform,-61,346,55,0,420,,
0,BoneV,133,257,35,0,425,,
0,BoneV,119,257,35,0,425,,
0,BoneV,105,257,35,0,425,,
2.1,BoneV,133,257,95,0,435,,
1.7,EndAttack,,,,,,,
